✗ Unknown ref: e4
[607AEEA242F59EF084A9A5A1ABE4D7C7] GET http://localhost:3000/ (Document) 200
[31803.2] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.29207c2f.woff2 (Font) 200
[31803.3] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.3b6cae6d.woff2 (Font) 200
[31803.4] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0f0ba101._.css (Stylesheet) 200
[31803.5] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js (Script) 200
[31803.6] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js (Script) 200
[31803.7] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js (Script) 200
[31803.8] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js (Script) 200
[31803.9] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js (Script) 200
[31803.10] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js (Script) 200
[31803.11] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js (Script) 200
[31803.12] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js (Script) 200
[31803.13] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js (Script) 200
[31803.14] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js (Script) 200
[31803.15] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js (Script) 200
[31803.16] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js (Script) 200
[31803.17] GET http://localhost:3000/_next/static/chunks/node_modules_d94de143._.js (Script) 200
[31803.18] GET http://localhost:3000/_next/static/chunks/src_2bc135c0._.js (Script) 200
[31803.19] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1cf6b850._.js (Script) 200
[31803.20] GET http://localhost:3000/_next/static/chunks/src_components_ui_8210349c._.js (Script) 200
[31803.21] GET http://localhost:3000/_next/static/chunks/src_components_layout_366872d1._.js (Script) 200
[31803.22] GET http://localhost:3000/_next/static/chunks/src_components_features_dashboard_dc047687._.js (Script) 200
[31803.23] GET http://localhost:3000/_next/static/chunks/src_components_features_attendance_AttendanceManager_tsx_90a108d1._.js (Script) 200
[31803.24] GET http://localhost:3000/_next/static/chunks/src_components_features_marks_MarksManager_tsx_e54dcb6e._.js (Script) 200
[31803.25] GET http://localhost:3000/_next/static/chunks/src_components_features_assignments_AssignmentManager_tsx_cb98831c._.js (Script) 200
[31803.26] GET http://localhost:3000/_next/static/chunks/src_components_features_leaves_LeaveManager_tsx_5cdf3058._.js (Script) 200
[31803.27] GET http://localhost:3000/_next/static/chunks/src_components_features_analytics_AnalyticsManager_tsx_374df678._.js (Script) 200
[31803.28] GET http://localhost:3000/_next/static/chunks/src_components_features_admin_d2be4df5._.js (Script) 200
[31803.29] GET http://localhost:3000/_next/static/chunks/src_components_features_settings_SettingsPage_tsx_e47e9e9e._.js (Script) 200
[31803.30] GET http://localhost:3000/_next/static/chunks/src_components_features_ce06b308._.js (Script) 200
[31803.31] GET http://localhost:3000/_next/static/chunks/src_components_shared_CommandPalette_tsx_8dc533db._.js (Script) 200
[31803.32] GET http://localhost:3000/_next/static/chunks/src_13575e04._.js (Script) 200
[31803.33] GET http://localhost:3000/_next/static/chunks/node_modules_framer-motion_dist_es_134bd0a7._.js (Script) 200
[31803.34] GET http://localhost:3000/_next/static/chunks/node_modules_motion-dom_dist_es_c5d9af39._.js (Script) 200
[31803.35] GET http://localhost:3000/_next/static/chunks/node_modules_axios_lib_abd7c0de._.js (Script) 200
[31803.36] GET http://localhost:3000/_next/static/chunks/node_modules_lucide-react_dist_esm_icons_f7c7cf1a._.js (Script) 200
[31803.37] GET http://localhost:3000/_next/static/chunks/node_modules_date-fns_3a62c682._.js (Script) 200
[31803.38] GET http://localhost:3000/_next/static/chunks/node_modules_lodash_0ce7be08._.js (Script) 200
[31803.39] GET http://localhost:3000/_next/static/chunks/node_modules_recharts_es6_7c3861d6._.js (Script) 200
[31803.40] GET http://localhost:3000/_next/static/chunks/node_modules_react-day-picker_dist_esm_2bc2ad0e._.js (Script) 200
[31803.41] GET http://localhost:3000/_next/static/chunks/node_modules_%40radix-ui_b7a8b3a6._.js (Script) 200
[31803.42] GET http://localhost:3000/_next/static/chunks/node_modules_%40floating-ui_1b6e7b6d._.js (Script) 200
[31803.43] GET http://localhost:3000/_next/static/chunks/node_modules_75e24554._.js (Script) 200
[31803.44] GET http://localhost:3000/_next/static/chunks/src_app_page_tsx_8533e121._.js (Script) 200
[31803.99] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js (Script) 200
[31803.100] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js (Script) 200
[31803.108] GET http://localhost:3000/api/auth/me (XHR) 401
[31803.109] GET http://localhost:3000/favicon.ico (Other) 404
[31803.106] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 (Font) 200
[31803.110] POST http://localhost:3000/api/auth/login (XHR) 200
[31803.111] GET http://localhost:3000/api/auth/me (XHR) 200
[31803.112] GET http://localhost:3000/api/notices?limit=1 (XHR) 200
[31803.113] GET http://localhost:3000/api/notices?limit=5 (XHR) 200
[31803.114] GET http://localhost:3000/api/dashboard/admin (XHR) 200
[DC889F2D416BB56A2C61A1B53371F337] GET http://localhost:3000/api/auth/logout (Document) 404
[8254BFBAFC7EEB1ED1FC07E4F5F46C01] GET http://localhost:3000/ (Document) 200
[31803.117] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.29207c2f.woff2 (Font) 200
[31803.118] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.3b6cae6d.woff2 (Font) 200
[31803.119] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0f0ba101._.css (Stylesheet) 200
[31803.120] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js (Script) 200
[31803.121] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js (Script) 200
[31803.122] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js (Script) 200
[31803.123] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js (Script) 200
[31803.124] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js (Script) 200
[31803.125] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js (Script) 200
[31803.126] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js (Script) 200
[31803.127] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js (Script) 200
[31803.128] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js (Script) 200
[31803.129] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js (Script) 200
[31803.130] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js (Script) 200
[31803.131] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js (Script) 200
